         473432 function calls (468070 primitive calls) in 1.621 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      317    1.192    0.004    1.192    0.004 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.063    0.063    0.063    0.063 {method 'connect' of '_socket.socket' objects}
        1    0.059    0.059    0.059    0.059 {method 'do_handshake' of '_ssl._SSLSocket' objects}
      187    0.020    0.000    0.020    0.000 {method 'read' of '_io.BufferedReader' objects}
     2685    0.015    0.000    0.075    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/html/parser.py:301(parse_starttag)
    22110    0.013    0.000    0.013    0.000 {method 'match' of 're.Pattern' objects}
      262    0.010    0.000    0.010    0.000 {built-in method builtins.compile}
        2    0.010    0.005    0.125    0.062 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/html/parser.py:134(goahead)
      270    0.007    0.000    0.007    0.000 {method 'decompress' of 'zlib.Decompress' objects}
      187    0.007    0.000    0.007    0.000 {built-in method marshal.loads}
     2570    0.006    0.000    0.009    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/bs4/builder/__init__.py:295(_replace_cdata_list_attribute_values)
        1    0.006    0.006    0.006    0.006 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
47820/47782    0.004    0.000    0.005    0.000 {built-in method builtins.isinstance}
     8086    0.004    0.000    0.004    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/bs4/element.py:156(setup)
     2685    0.004    0.000    0.031    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/bs4/__init__.py:722(handle_starttag)
     5612    0.004    0.000    0.017    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/bs4/__init__.py:586(endData)
    277/4    0.004    0.000    0.104    0.026 {built-in method builtins.exec}
        6    0.004    0.001    0.004    0.001 {built-in method _imp.create_dynamic}
     2539    0.004    0.000    0.023    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/html/parser.py:379(parse_endtag)
