         326732 function calls (325284 primitive calls) in 1.517 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
35815/35807    0.003    0.000    0.004    0.000 {built-in method builtins.isinstance}
    21995    0.013    0.000    0.013    0.000 {method 'match' of 're.Pattern' objects}
    17507    0.003    0.000    0.003    0.000 {method 'append' of 'list' objects}
    14574    0.003    0.000    0.003    0.000 {method 'lower' of 'str' objects}
    14007    0.002    0.000    0.002    0.000 {method 'end' of 're.Match' objects}
    13824    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
    13146    0.004    0.000    0.004    0.000 {method 'group' of 're.Match' objects}
    10713    0.003    0.000    0.006    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/_markupbase.py:44(updatepos)
     8308    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
     8086    0.005    0.000    0.005    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/bs4/element.py:156(setup)
     8036    0.003    0.000    0.003    0.000 {method 'search' of 're.Pattern' objects}
     7953    0.003    0.000    0.003    0.000 {method 'count' of 'str' objects}
     6838    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
     6639    0.000    0.000    0.000    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/bs4/element.py:1586(__bool__)
6034/6008    0.001    0.000    0.001    0.000 {built-in method builtins.len}
     5800    0.001    0.000    0.005    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/html/__init__.py:122(unescape)
     5612    0.004    0.000    0.017    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/bs4/__init__.py:586(endData)
     5476    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
     3429    0.000    0.000    0.000    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/bs4/element.py:2062(descendants)
     3365    0.000    0.000    0.001    0.000 {built-in method builtins.next}
     3350    0.001    0.000    0.008    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/bs4/element.py:2303(search)
     3215    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
     2756    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
     2745    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x1059920e8}
     2725    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
     2720    0.001    0.000    0.001    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/bs4/__init__.py:773(handle_data)
     2700    0.001    0.000    0.001    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/bs4/__init__.py:523(string_container)
     2700    0.002    0.000    0.005    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/bs4/element.py:943(__new__)
     2700    0.003    0.000    0.007    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/bs4/__init__.py:620(object_was_parsed)
     2693    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     2686    0.000    0.000    0.000    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/bs4/builder/__init__.py:453(set_up_substitutions)
     2686    0.003    0.000    0.018    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/bs4/builder/_htmlparser.py:160(handle_endtag)
     2686    0.000    0.000    0.000    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/bs4/builder/__init__.py:205(can_be_empty_element)
     2686    0.002    0.000    0.003    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/bs4/__init__.py:572(pushTag)
     2686    0.004    0.000    0.015    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/bs4/element.py:1199(__init__)
     2685    0.001    0.000    0.001    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/bs4/element.py:1371(is_empty_element)
     2685    0.000    0.000    0.000    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/_markupbase.py:36(getpos)
     2685    0.002    0.000    0.002    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/bs4/__init__.py:558(popTag)
     2685    0.004    0.000    0.031    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/bs4/__init__.py:722(handle_starttag)
     2685    0.004    0.000    0.037    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/bs4/builder/_htmlparser.py:105(handle_starttag)
     2685    0.001    0.000    0.006    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/html/parser.py:345(check_for_whole_start_tag)
     2685    0.015    0.000    0.078    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/html/parser.py:301(parse_starttag)
     2684    0.002    0.000    0.015    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/bs4/__init__.py:763(handle_endtag)
     2684    0.003    0.000    0.005    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/bs4/__init__.py:688(_popToTag)
     2599    0.001    0.000    0.002    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/bs4/builder/_htmlparser.py:178(handle_data)
     2574    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
     2570    0.005    0.000    0.009    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/bs4/builder/__init__.py:295(_replace_cdata_list_attribute_values)
     2539    0.000    0.000    0.000    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/html/parser.py:127(clear_cdata_mode)
     2539    0.004    0.000    0.024    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/html/parser.py:379(parse_endtag)
     2205    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
     2205    0.000    0.000    0.001    0.000 <frozen abc>:117(__instancecheck__)
     2175    0.001    0.000    0.001    0.000 {method 'findall' of 're.Pattern' objects}
 2148/852    0.002    0.000    0.004    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/bs4/element.py:2336(_matches)
     1944    0.002    0.000    0.003    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/html/__init__.py:91(_replace_charref)
     1909    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
     1821    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
     1741    0.000    0.000    0.000    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/bs4/element.py:2203(_normalize_search_value)
     1714    0.001    0.000    0.006    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/bs4/element.py:2240(search_tag)
     1429    0.001    0.000    0.001    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/bs4/__init__.py:648(_linkage_fixer)
