         326723 function calls (325275 primitive calls) in 6.443 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    5.005    5.005    5.005    5.005 {built-in method time.sleep}
      322    1.112    0.003    1.112    0.003 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.062    0.062    0.062    0.062 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.056    0.056    0.056    0.056 {method 'connect' of '_socket.socket' objects}
        1    0.015    0.015    0.015    0.015 {built-in method _socket.getaddrinfo}
     2685    0.015    0.000    0.078    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/html/parser.py:301(parse_starttag)
    21995    0.014    0.000    0.014    0.000 {method 'match' of 're.Pattern' objects}
        2    0.011    0.005    0.130    0.065 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/html/parser.py:134(goahead)
        3    0.009    0.003    0.009    0.003 {built-in method _scproxy._get_proxy_settings}
       42    0.007    0.000    0.007    0.000 {method 'decompress' of 'zlib.Decompress' objects}
     2570    0.005    0.000    0.009    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/bs4/builder/__init__.py:295(_replace_cdata_list_attribute_values)
     8086    0.005    0.000    0.005    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/bs4/element.py:156(setup)
     2685    0.004    0.000    0.031    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/bs4/__init__.py:722(handle_starttag)
     5612    0.004    0.000    0.017    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/bs4/__init__.py:586(endData)
     2539    0.004    0.000    0.024    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/html/parser.py:379(parse_endtag)
     2685    0.004    0.000    0.037    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/bs4/builder/_htmlparser.py:105(handle_starttag)
     2686    0.004    0.000    0.015    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/bs4/element.py:1199(__init__)
     8036    0.004    0.000    0.004    0.000 {method 'search' of 're.Pattern' objects}
    13146    0.003    0.000    0.003    0.000 {method 'group' of 're.Match' objects}
35815/35807    0.003    0.000    0.004    0.000 {built-in method builtins.isinstance}
     7953    0.003    0.000    0.003    0.000 {method 'count' of 'str' objects}
    10713    0.003    0.000    0.006    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/_markupbase.py:44(updatepos)
     2686    0.003    0.000    0.018    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/bs4/builder/_htmlparser.py:160(handle_endtag)
       67    0.003    0.000    0.174    0.003 {method 'read' of '_io.BufferedReader' objects}
    17507    0.003    0.000    0.003    0.000 {method 'append' of 'list' objects}
     2684    0.003    0.000    0.005    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/bs4/__init__.py:688(_popToTag)
