         326772 function calls (325324 primitive calls) in 1.419 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      327    1.118    0.003    1.118    0.003 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.061    0.061    0.061    0.061 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.057    0.057    0.057    0.057 {method 'connect' of '_socket.socket' objects}
     2685    0.015    0.000    0.078    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/html/parser.py:301(parse_starttag)
    21995    0.014    0.000    0.014    0.000 {method 'match' of 're.Pattern' objects}
        2    0.010    0.005    0.129    0.065 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/html/parser.py:134(goahead)
        1    0.009    0.009    0.009    0.009 {built-in method _socket.getaddrinfo}
       42    0.006    0.000    0.006    0.000 {method 'decompress' of 'zlib.Decompress' objects}
     2570    0.005    0.000    0.008    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/bs4/builder/__init__.py:295(_replace_cdata_list_attribute_values)
     8086    0.005    0.000    0.005    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/bs4/element.py:156(setup)
     2685    0.004    0.000    0.030    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/bs4/__init__.py:722(handle_starttag)
     5612    0.004    0.000    0.017    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/bs4/__init__.py:586(endData)
     2686    0.004    0.000    0.014    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/bs4/element.py:1199(__init__)
     2539    0.004    0.000    0.024    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/html/parser.py:379(parse_endtag)
        3    0.004    0.001    0.004    0.001 {built-in method _scproxy._get_proxy_settings}
     2685    0.004    0.000    0.036    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/bs4/builder/_htmlparser.py:105(handle_starttag)
     8036    0.003    0.000    0.003    0.000 {method 'search' of 're.Pattern' objects}
    13146    0.003    0.000    0.003    0.000 {method 'group' of 're.Match' objects}
35815/35807    0.003    0.000    0.004    0.000 {built-in method builtins.isinstance}
    10713    0.003    0.000    0.006    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/_markupbase.py:44(updatepos)
     7953    0.003    0.000    0.003    0.000 {method 'count' of 'str' objects}
     2686    0.003    0.000    0.018    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/bs4/builder/_htmlparser.py:160(handle_endtag)
     2684    0.003    0.000    0.005    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/bs4/__init__.py:688(_popToTag)
     2700    0.003    0.000    0.007    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/bs4/__init__.py:620(object_was_parsed)
    17507    0.003    0.000    0.003    0.000 {method 'append' of 'list' objects}
    14574    0.002    0.000    0.002    0.000 {method 'lower' of 'str' objects}
    13824    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
     2686    0.002    0.000    0.003    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/bs4/__init__.py:572(pushTag)
    14007    0.002    0.000    0.002    0.000 {method 'end' of 're.Match' objects}
     2700    0.002    0.000    0.005    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/bs4/element.py:943(__new__)
       43    0.002    0.000    0.008    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/urllib3/response.py:122(decompress)
 2148/852    0.002    0.000    0.004    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/bs4/element.py:2336(_matches)
     1944    0.002    0.000    0.003    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/html/__init__.py:91(_replace_charref)
       67    0.002    0.000    0.169    0.003 {method 'read' of '_io.BufferedReader' objects}
     2684    0.002    0.000    0.015    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/bs4/__init__.py:763(handle_endtag)
      327    0.002    0.000    1.121    0.003 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/ssl.py:1236(recv_into)
        1    0.002    0.002    0.002    0.002 {method '_wrap_socket' of '_ssl._SSLContext' objects}
     8308    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
     2685    0.002    0.000    0.002    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/bs4/__init__.py:558(popTag)
        1    0.002    0.002    0.002    0.002 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/requests/models.py:909(text)
     2685    0.001    0.000    0.007    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/html/parser.py:345(check_for_whole_start_tag)
