user,datetime,year,month,day,hour,minute,second,daytime
valentina,2020-05-15 00:00:13.222265,2020,5,15,0,0,13,night
valentina,2020-05-15 00:01:05.153738,2020,5,15,0,1,5,night
pavel,2020-05-12 00:01:27.764025,2020,5,12,0,1,27,night
pavel,2020-05-12 00:01:38.444917,2020,5,12,0,1,38,night
pavel,2020-05-12 00:01:55.395042,2020,5,12,0,1,55,night
valentina,2020-05-15 00:02:05.652585,2020,5,15,0,2,5,night
alexander,2020-05-15 00:05:27.798227,2020,5,15,0,5,27,night
artem,2020-04-20 00:08:17.652510,2020,4,20,0,8,17,night
alexander,2020-05-15 00:10:24.935904,2020,5,15,0,10,24,night
maxim,2020-05-15 00:12:22.886082,2020,5,15,0,12,22,night
maxim,2020-05-15 00:12:27.352993,2020,5,15,0,12,27,night
konstantin,2020-05-10 00:13:42.216836,2020,5,10,0,13,42,night
maxim,2020-05-14 00:13:49.532283,2020,5,14,0,13,49,night
konstantin,2020-05-10 00:14:05.765256,2020,5,10,0,14,5,night
alexander,2020-05-15 00:15:44.150373,2020,5,15,0,15,44,night
valentina,2020-05-15 00:15:56.403749,2020,5,15,0,15,56,night
anatoliy,2020-05-16 00:16:07.272174,2020,5,16,0,16,7,night
pavel,2020-05-10 00:17:03.110482,2020,5,10,0,17,3,night
pavel,2020-05-10 00:17:14.304271,2020,5,10,0,17,14,night
konstantin,2020-04-19 00:17:22.720860,2020,4,19,0,17,22,night
konstantin,2020-04-19 00:17:28.624573,2020,4,19,0,17,28,night
konstantin,2020-05-15 00:19:29.163438,2020,5,15,0,19,29,night
alexander,2020-05-15 00:19:35.131440,2020,5,15,0,19,35,night
konstantin,2020-05-15 00:19:41.693715,2020,5,15,0,19,41,night
maxim,2020-05-14 00:22:57.668245,2020,5,14,0,22,57,night
konstantin,2020-05-10 00:25:19.062084,2020,5,10,0,25,19,night
pavel,2020-05-10 00:25:41.252557,2020,5,10,0,25,41,night
konstantin,2020-05-10 00:25:43.134669,2020,5,10,0,25,43,night
konstantin,2020-05-12 00:26:30.724998,2020,5,12,0,26,30,night
pavel,2020-05-10 00:27:11.011497,2020,5,10,0,27,11,night
konstantin,2020-05-12 00:28:57.362197,2020,5,12,0,28,57,night
artem,2020-04-18 00:30:45.051569,2020,4,18,0,30,45,night
artem,2020-04-24 00:31:07.463947,2020,4,24,0,31,7,night
pavel,2020-05-10 00:31:49.337810,2020,5,10,0,31,49,night
pavel,2020-05-10 00:31:52.675228,2020,5,10,0,31,52,night
pavel,2020-05-10 00:31:57.224599,2020,5,10,0,31,57,night
valentina,2020-05-15 00:37:50.088241,2020,5,15,0,37,50,night
konstantin,2020-05-06 00:38:00.562420,2020,5,6,0,38,0,night
alexander,2020-05-15 00:38:19.284981,2020,5,15,0,38,19,night
konstantin,2020-05-06 00:38:57.672657,2020,5,6,0,38,57,night
alexander,2020-05-15 00:41:07.728365,2020,5,15,0,41,7,night
pavel,2020-05-10 00:42:46.485025,2020,5,10,0,42,46,night
konstantin,2020-04-19 00:43:03.766276,2020,4,19,0,43,3,night
konstantin,2020-04-19 00:44:18.631684,2020,4,19,0,44,18,night
konstantin,2020-05-10 00:51:22.692446,2020,5,10,0,51,22,night
pavel,2020-05-13 00:51:28.596876,2020,5,13,0,51,28,night
pavel,2020-05-13 00:51:39.485981,2020,5,13,0,51,39,night
pavel,2020-05-13 00:51:48.307642,2020,5,13,0,51,48,night
pavel,2020-05-13 00:51:51.235785,2020,5,13,0,51,51,night
pavel,2020-05-13 00:51:53.823330,2020,5,13,0,51,53,night
pavel,2020-05-13 00:51:56.952662,2020,5,13,0,51,56,night
pavel,2020-05-13 00:51:59.641605,2020,5,13,0,51,59,night
pavel,2020-05-13 00:52:21.341992,2020,5,13,0,52,21,night
valentina,2020-05-13 00:52:40.776025,2020,5,13,0,52,40,night
valentina,2020-05-13 00:52:47.579523,2020,5,13,0,52,47,night
pavel,2020-05-13 00:52:53.759841,2020,5,13,0,52,53,night
pavel,2020-05-13 00:53:04.122832,2020,5,13,0,53,4,night
pavel,2020-05-13 00:53:17.976621,2020,5,13,0,53,17,night
pavel,2020-05-13 00:53:22.197897,2020,5,13,0,53,22,night
